Tag	Latency Normalized	Power
329	0.8795659459	100.398463
330	0.8853952177	100.502362
331	0.8865189938	100.570203
332	0.8893607771	100.633058
333	0.8906069687	100.684725
334	0.8916970742	100.71427
335	0.9058518026	100.80123
336	0.9079128921	100.845395
337	0.9299851388	100.887945
338	0.9346474632	100.999539
339	0.9353904752	101.119555
340	0.9350233933	101.218315
341	0.9396446288	101.325679
342	0.9496679921	101.447115
343	0.9547205861	101.572924
344	0.9551209746	101.668912
345	0.9646015739	101.763463
346	0.9678405928	101.89199
347	0.97119858	102.013073
348	0.974482842	102.10687
349	0.9765073092	102.204753
350	0.975848601	102.397018
351	0.9742398798	102.57245
352	0.9235215632	103.208525
353	0.9189065013	103.251193
354	0.9162738365	103.262357
355	0.9126478851	103.208861
356	0.9316487364	103.273742
357	0.9259274977	103.190345
358	0.9263728508	103.205332
359	0.9259782623	103.160347
360	0.9232188857	103.16446
361	0.9206109251	103.124346
362	0.9085791794	102.996394
363	0.9125573481	102.999075
364	0.9082005286	102.894461
365	0.9084365595	102.850401
366	0.9019778909	102.788047
367	0.8967257405	102.668553
368	0.8922524161	102.640241
369	0.8869831891	102.564477
370	0.8956001181	102.505194
371	0.892621435	102.44704
372	0.8895099645	102.393209
373	0.8821457666	102.319172
374	0.8787130661	102.263102
375	0.8748003906	102.225951
376	0.8846821597	102.27474
377	0.8806797145	102.269074
378	0.8804742293	102.286971
379	0.8874132521	102.397269
380	0.8879411597	102.476728
381	0.8904939548	102.572638
382	0.8896118468	102.637828
383	0.8934130665	102.770931
384	0.8981018841	102.837098
385	1.0685648177	101.477304
386	1.0682909437	101.535648
387	1.0694735833	101.658736
388	1.0704384636	101.792339
389	1.0716968784	101.953364
390	1.0715986877	102.063845
391	1.071549025	102.163062
392	1.0730010929	102.287787
393	1.0743752374	102.420299
394	1.0757535811	102.530267
395	1.0771855995	102.6586
396	1.0785897331	102.779531
397	1.0757949542	102.905867
398	1.0727395645	103.030307
399	1.0691837152	103.173662
400	1.0671797667	103.295734
401	1.0611252349	103.42571
402	1.0586910996	103.558496
403	1.0555966016	103.638665
404	1.0474239982	103.776939
405	1.0293102969	103.977284
406	1.0254742765	104.07421
407	1.0201591091	104.209097
408	1.018034049	104.362181
409	1.0188086078	104.49922
410	1.020292079	104.66368
411	1.021141414	104.848863
412	1.0160011288	106.34065
413	1.0186075406	106.3537
414	1.0204916423	106.352178
415	1.0235774236	106.369706
416	1.0284036078	106.408713
417	1.0311063298	106.429663
418	1.0308915679	106.430648
419	1.0302133237	106.413827
420	1.0292929482	106.425522
421	1.0307175297	106.406185
422	1.030185199	106.397111
423	1.0302298189	106.376927
424	1.0304918237	106.352068
425	1.0324810804	106.325092
426	1.0340281873	106.303184
427	1.036236589	106.306626
428	1.0372073503	106.281526
429	1.0336864191	106.28888
430	1.0294092795	106.28209
431	1.0301847125	106.270611
432	1.0293653045	106.268472
433	1.0324563405	106.247885
434	1.0353380728	106.277882
435	1.0250343718	106.347337
436	1.0251180402	106.363234
437	1.0043286985	106.522836
438	1.0029603629	106.510263
439	1.0027515084	106.465267
440	1.0017230889	106.46403
441	0.9986579286	106.482826
442	0.9900916986	106.477878
443	0.9841367812	106.497656
444	0.9893323182	106.489325
445	0.9847357345	106.500492
446	0.9838198124	106.4326
447	0.9866778348	106.395706
448	0.9855539959	106.384611
449	0.9867499626	106.398394
450	0.984938404	106.407815
451	0.9904150929	106.365187
452	0.9857292688	106.325852
453	0.9949055035	106.403937
454	0.9959700148	106.41152
455	0.9963226975	106.471231
456	0.9752165377	106.484828
457	0.975346254	106.491053
458	0.978940901	106.463275
459	0.9796437778	106.443255
460	0.9772148911	106.414812
461	1.164515693	104.994218
462	1.1622049779	104.981644
463	1.1552259824	104.958514
464	1.1493841671	104.981625
465	1.1445071407	104.998069
466	1.1425346217	104.981714
467	1.1362084299	105.002225
468	1.133902231	105.019852
469	1.1318353304	105.058254
470	1.1169678493	105.111589
471	1.1124164494	105.12771
472	1.1086042285	105.159745
473	1.1043426157	105.175221
474	1.10231864	105.228514
475	1.1011440749	105.283019
476	1.0886821421	105.31069
477	1.0881682918	105.352551
478	1.0838447387	105.378085
479	1.0742674671	105.337189
480	1.0703235579	105.36405
481	1.0692045305	105.459691
482	1.0681369928	105.485185
483	1.0658763075	105.489516
484	1.0664634224	105.581269
485	0.8985848861	107.870558
486	0.9021023156	107.945784
487	0.9029162615	107.898894
488	0.9017920637	107.837197
489	0.9123865599	107.797975
490	0.9156988556	107.849229
491	0.9190623527	107.849613
492	0.9209525335	107.808576
493	0.923451809	107.812418
494	0.9325136383	107.921472
495	0.9363449307	107.971688
496	0.9376501339	108.007711
497	0.939815544	108.057891
498	0.9423728036	108.071643
499	0.9449474036	108.13348
500	0.9451533795	108.16674
501	0.9443044142	108.146809
502	0.9493356193	108.266697
503	0.9509429907	108.327795
504	0.9516899198	108.410575
505	0.9532576089	108.459164
506	0.9612130124	108.71179
507	0.9650368749	108.906526
508	0.9648065892	108.989112
509	0.9667966189	109.227328
510	0.9747140494	109.671478
511	0.9772009252	109.927298
512	0.9877536654	110.072416
513	0.9867753194	109.96317
514	0.987345684	109.891802
515	0.9858861362	109.848858
516	0.9834022596	109.814559
517	0.983209083	109.788572
518	0.9817716905	109.771635
519	0.9812857362	109.738934
520	0.9818346275	109.679579
521	0.9818570812	109.61725
522	0.9816857926	109.580404
523	0.9816009535	109.491993
524	0.9814753882	109.445042
525	0.979163203	109.393392
526	0.9777222721	109.333322
527	0.9733439617	109.266317
528	0.9684678959	109.209717
529	0.9678153021	109.124647
530	0.9658601439	109.040893
531	0.9642862911	108.970383
532	0.9633095463	108.895258
533	0.9587953695	108.861119
534	0.9556103085	108.757782
535	0.9524736296	108.685361
536	0.9501055627	108.648785
537	0.9492113023	108.554878
538	0.9455843771	108.519235
539	0.9437527676	108.506353
540	0.9426594773	108.452742
541	0.9393716981	108.39811
542	0.9377289377	108.372124
543	0.9383079344	108.295734
544	0.9574750235	108.055165
545	0.9547717463	108.063834
546	0.9569107476	108.030531
547	0.9518245505	108.072709
548	0.9564883487	108.049522
549	0.9679839315	107.976071
550	0.9691903279	107.953989
551	0.9663537761	107.963661
552	0.9659555021	107.952542
553	0.9603365788	107.89126
554	0.961428529	107.928138
555	0.9640706921	107.898895
556	0.964899955	107.938142
557	0.9648927007	107.94953
558	0.9581528729	107.976636
559	0.954422166	108.035938
560	0.9551182379	108.057089
561	0.77810145	110.588321
562	0.7823117488	110.587094
563	0.7884653045	110.589576
564	0.7927800464	110.521209
565	0.7969086585	110.475521
566	0.7988828422	110.461935
567	0.8071728066	110.43807
568	0.8119703923	110.412309
569	0.8135968302	110.38324
570	0.8187159001	110.333488
571	0.826064994	110.310487
572	0.8312398212	110.27812
573	0.8355228383	110.26563
574	0.8380574457	110.229382
575	0.8393229811	110.175842
576	0.8411358025	110.151145
577	0.8427088201	110.096613
578	0.8510734874	110.048248
579	0.8555248153	109.98955
580	0.8574007817	109.952069
581	0.8572509932	109.847299
582	0.8589326273	109.795632
583	0.8630912823	109.73604
584	0.8681426587	109.615527
