Beat,Tag,Window_Rate,Window_Power,Window_Rate_Norm,Window_Power_Norm,Perf_Target,Pwr_Target
123,135,0.66791,3.233851,1.003015459,6.467702,,
124,136,0.664284,3.21538,0.997570213,6.43076,,
125,137,0.633483,3.202475,0.951315659,6.40495,,
126,138,0.635124,3.201836,0.953779986,6.403672,,
127,139,0.656915,3.193338,0.98650402,6.386676,,
128,140,0.663643,3.190742,0.996607609,6.381484,,
129,141,0.685149,3.181722,1.028903652,6.363444,,
130,142,0.682868,3.182442,1.025478224,6.364884,,
131,143,0.683353,3.182058,1.026206559,6.364116,,
132,144,0.676239,3.18526,1.015523305,6.37052,,
133,145,0.637911,3.201343,0.957965286,6.402686,,
134,146,0.634626,3.202742,0.953032128,6.405484,,
135,147,0.655612,3.194012,0.984547276,6.388024,,
136,148,0.648658,3.196753,0.974104298,6.393506,,
137,149,0.692837,3.177687,1.040448895,6.355374,,
138,150,0.691203,3.178173,1.03799508,6.356346,,
139,151,0.695944,3.176208,1.045114747,6.352416,,
140,152,0.692803,3.171719,1.040397836,6.343438,,
141,153,0.644625,3.120586,0.968047851,6.241172,,
142,154,0.624697,3.099303,0.938121525,6.198606,,
143,155,0.637156,3.112076,0.956831486,6.224152,,
144,156,0.643186,3.118175,0.965886872,6.23635,,
145,157,0.681304,3.080581,1.02312953,6.161162,,
146,158,0.684193,3.04829,1.027468006,6.09658,,
147,159,0.671511,2.998822,1.008423161,5.997644,,
148,160,0.674971,2.958362,1.013619121,5.916724,,
149,161,0.63527,2.958035,0.953999237,5.91607,,
150,162,0.6137,2.974932,0.921607083,5.949864,,
151,163,0.618542,2.971073,0.928878424,5.942146,,
152,164,0.625392,2.965249,0.939165223,5.930498,,
153,165,0.663603,2.934188,0.99654754,5.868376,,
154,166,0.675072,2.92464,1.013770795,5.84928,,
155,167,0.66937,2.929351,1.005207974,5.858702,,
156,168,0.680676,2.920432,1.022186448,5.840864,,
157,169,0.651152,2.944339,0.977849593,5.888678,,
158,170,0.625395,2.965089,0.939169728,5.930178,,
159,171,0.621649,2.967899,0.933544275,5.935798,,
160,172,0.62087,2.968747,0.932374433,5.937494,,
161,173,0.668351,3.009302,1.003677718,6.018604,,
162,174,0.68773,3.025997,1.032779598,6.051994,,
163,175,0.689299,3.060109,1.035135801,6.120218,,
164,176,0.690007,3.097551,1.03619902,6.195102,,
165,177,0.689875,3.14263,1.036000793,6.28526,,
166,178,0.649929,3.19106,0.976012987,6.38212,,
167,179,0.663506,3.241859,0.996401873,6.483718,,
168,180,0.665755,3.278922,0.999779247,6.557844,,
169,181,0.709961,3.300584,1.066164391,6.601168,,
170,182,0.732287,3.296213,1.099691847,6.592426,,
171,183,0.720965,3.299949,1.082689345,6.599898,,
172,184,0.722856,3.299988,1.085529102,6.599976,,
173,185,0.706963,3.304356,1.061662227,6.608712,,
174,186,0.678037,3.311683,1.018223402,6.623366,,
175,187,0.67565,3.31251,1.014638791,6.62502,,
176,188,0.666488,3.314924,1.000880009,6.629848,,
177,189,0.693442,3.308888,1.041357437,6.617776,,
178,190,0.722732,3.302495,1.085342888,6.60499,,
179,191,0.703963,3.307613,1.057157059,6.615226,,
180,192,0.713733,3.319402,1.071828888,6.638804,,
181,193,0.720134,3.327582,1.081441413,6.655164,,
182,194,0.690562,3.29137,1.037032476,6.58274,,
183,195,0.683758,3.250602,1.026814757,6.501204,,
184,196,0.685613,3.216314,1.029600452,6.432628,,
185,197,0.661399,3.145593,0.993237744,6.291186,,
186,198,0.695259,3.086436,1.044086067,6.172872,,
187,199,0.656883,3.015508,0.986455965,6.031016,,
188,200,0.651152,2.989969,0.977849593,5.979938,,
189,201,0.652408,2.988478,0.979735757,5.976956,,
190,202,0.640267,2.997,0.961503344,5.994,,
191,203,0.652961,2.986914,0.980566209,5.973828,,
192,204,0.646514,2.991593,0.970884605,5.983186,,
193,205,0.650265,2.988522,0.976517566,5.977044,,
194,206,0.666502,2.976368,1.000901033,5.952736,,
195,207,0.65181,2.987277,0.978837727,5.974554,,
196,208,0.659123,2.981615,0.989819823,5.96323,,
197,209,0.656374,2.983593,0.985691588,5.967186,,
198,210,0.641391,2.994472,0.96319128,5.988944,,
199,211,0.663729,2.977405,0.996736757,5.95481,,
200,212,0.659175,2.974848,0.989897913,5.949696,,
201,213,0.640811,2.959827,0.962320281,5.919654,,
202,214,0.645636,2.963529,0.969566092,5.927058,,
203,215,0.649376,2.966482,0.975182534,5.932964,,
204,216,0.63416,2.95397,0.952332325,5.90794,,
205,217,0.659055,2.974235,0.989717706,5.94847,,
206,218,0.645585,2.963172,0.969489504,5.926344,,
207,219,0.665807,3.008849,0.999857336,6.017698,,
208,220,0.665708,3.03851,0.999708666,6.07702,,
209,221,0.659782,3.042589,0.990809458,6.085178,,
210,222,0.66243,3.041116,0.99478602,6.082232,,
211,223,0.655522,3.045464,0.984412121,6.090928,,
212,224,0.656246,3.044746,0.985499368,6.089492,,
213,225,0.666098,3.038215,1.000294338,6.07643,,
214,226,0.666318,3.037752,1.000624717,6.075504,,
215,227,0.662506,3.03988,0.99490015,6.07976,,
216,228,0.652656,3.046278,0.980108184,6.092556,,
217,229,0.65805,3.042295,0.988208475,6.08459,,
218,230,0.666308,3.036839,1.000609699,6.073678,,
219,231,0.654851,3.044424,0.983404465,6.088848,,
220,232,0.654037,3.042358,0.982182063,6.084716,,
221,233,0.655182,3.043346,0.983901535,6.086692,,
222,234,0.682355,3.068399,1.02470784,6.136798,,
223,235,0.663777,3.051166,0.99680884,6.102332,,
224,236,0.663801,3.051117,0.996844881,6.102234,,
225,237,0.647694,3.036105,0.972656637,6.07221,,
226,238,0.664235,3.054681,0.997496629,6.109362,,
227,239,0.667932,3.084083,1.003048497,6.168166,,
228,240,0.665669,3.085696,0.999650099,6.171392,,
229,241,0.672168,3.082214,1.009409793,6.164428,,
230,242,0.680589,3.077454,1.022055798,6.154908,,
231,243,0.671532,3.082942,1.008454698,6.165884,,
232,244,0.660128,3.089729,0.991329054,6.179458,,
233,245,0.65331,3.093896,0.981090311,6.187792,,
234,246,0.648502,3.096812,0.973870029,6.193624,,
235,247,0.676214,3.081246,1.015485762,6.162492,,
236,248,0.679041,3.079724,1.019731132,6.159448,,
237,249,0.682827,3.077734,1.025416653,6.155468,,
238,250,0.67565,3.081933,1.014638791,6.163866,,
239,251,0.680362,3.078895,1.021714907,6.15779,,
240,252,0.559122,2.583382,0.839646074,5.166764,,
241,253,0.503275,2.28227,0.755779379,4.56454,,
242,254,0.477569,2.130038,0.717176101,4.260076,,
243,255,0.466934,1.972441,0.701205282,3.944882,,
244,256,0.453352,1.851762,0.680808888,3.703524,,
245,257,0.428167,1.694028,0.642988007,3.388056,,
246,258,0.429846,1.652143,0.645509399,3.304286,,
247,259,0.436873,1.566247,0.656062003,3.132494,,
248,260,0.442127,1.488619,0.663952053,2.977238,,
