Time	EXEC_CV	DRAM_CV
198	0.8568477033	0.3128299744
199	0.9007013424	0.3085742752
200	0.8429349298	0.2313990623
201	0.8617005842	0.1712446783
202	0.588845624	0.1428832888
203	0.2338517945	0.1027932422
204	0.1196456247	0.0751692834
205	0.1275477435	0.0934286678
206	0.1596531454	0.1111824123
207	0.1624460272	0.1243452899
208	0.1953377812	0.1420812263
209	0.1856046192	0.1335518769
210	0.1767505202	0.1318363886
211	0.1748826364	0.1168526656
212	0.4967988437	0.1510753142
213	0.7738801743	0.1732430642
214	1.0596100773	0.1359833521
215	1.4088709664	0.1341470676
216	0.1115847434	0.0248764921
217	1.8944045259	0.0253705435
218	1.4095798218	0.0569864887
219	0.9567441423	0.0912370317
220	0.6142071457	0.1392677786
221	0.3724491831	0.3180610016
222	0.4072029342	0.3326355478
223	0.3956208802	0.276059537
224	0.391260753	0.183528142
225	0.1621492002	0.0559435831
226	0.4661474414	0.2646404032
227	0.5204030536	0.2579351185
228	0.7086460085	0.2747920652
229	0.9850790134	0.2967143208
230	0.6599400909	0.2543029958
231	0.5988835054	0.2109968957
232	0.6105228679	0.2198295596
233	0.4893644503	0.2279435693
234	0.354446491	0.1480540524
235	0.5665636317	0.1956628602
236	0.7629683467	0.2262254456
237	0.9277372442	0.2145759477
238	0.7580177104	0.1345189104
239	0.8450977164	0.2314656203
240	0.9746465129	0.3247033146
241	1.074284178	0.3486947862
242	1.2033339606	0.3611904423
243	1.7482055757	0.3647951968
244	0.1956978833	0.1346332713
245	0.2517070455	0.0915538795
246	0.1867767741	0.1217712169
247	0.1732937784	0.1172314325
248	0.8583144778	0.0850518405
249	1.1564646483	0.1105555362
250	0.8536002483	0.261414313
251	0.6126497467	0.300654124
252	0.3266428946	0.2596432575
253	0.1102797096	0.1702573965
254	0.1075820563	0.0505315425
255	0.023659759	0.0045943535
256	0.0191653192	0.0040822641
257	0.1052793517	0.0512371288
258	0.3519930345	0.264286953
259	0.7370766047	0.3327704701
260	0.6753529504	0.353880478
261	0.5204927612	0.2848533649
262	0.3292700911	0.0536419752
263	0.1854295481	0.0049632517
264	0.1629671984	0.0044566961
265	0.2957102805	0.0306471838
266	0.6418354007	0.0465785806
267	0.9849783395	0.0450619787
268	1.1550651618	0.2851689656
269	0.8990034881	0.3273380604
270	0.7882496844	0.2981446646
271	0.497174976	0.2089377211
272	0.0492487773	0.0235575813
273	0.1825453458	0.1158560786
274	0.1845670083	0.1178372162
275	0.1836342823	0.1142791631
276	0.1815377696	0.1168193627
277	0.1829096406	0.1195686049
278	0.0081574996	0.0126156633
279	0.0081574996	0.012841637
280	0.0079272402	0.0040915427
281	0.0097715318	0.004606167
282	0.0108489777	0.0048281664
283	0.2200509465	0.1178684742
284	0.5826264995	0.2560804159
285	0.7351736219	0.3065809969
286	0.7168699951	0.2754433908
287	0.6723559896	0.1634692604
288	0.7718674618	0.210918588
289	0.4613417314	0.1582373746
290	0.2549010606	0.1008753017
291	0.182213989	0.1022556419
292	0.2145740771	0.1261624394
293	0.1796072545	0.1121538797
294	0.2113431925	0.1138915907
295	0.2011037635	0.1068022441
296	0.1931393946	0.0732687853
297	0.4552870858	0.1323111922
298	0.6931464707	0.1540545947
299	0.9890378006	0.1662953457
300	1.2281290986	0.1432766156
301	0.5622813767	0.0154222071
302	1.5516701483	0.015814433
303	1.6470781796	0.0491446336
304	1.1136399097	0.0842070017
305	0.7469555875	0.1450402295
306	0.4109104598	0.1597860002
307	0.2681542815	0.237853366
308	0.3458891972	0.2899098655
309	0.3485590646	0.2483974767
310	0.3517286756	0.1892128733
311	0.1290561836	0.0826469314
312	0.4667667477	0.2490358356
313	0.4869724412	0.2444873918
314	0.6822953677	0.2736521924
315	1.0373970404	0.3481065276
316	0.9074305897	0.3301255787
317	0.7443673859	0.3158595118
318	0.7494465766	0.2436973754
319	0.6726662795	0.3399577312
320	0.5068956491	0.2703157685
321	0.5348846826	0.3257598228
322	0.686872425	0.3310657048
323	0.8221782943	0.3464812517
324	0.8075684919	0.3662545229
325	0.9152291011	0.3951012253
326	1.2007579917	0.4043742024
327	1.4380704785	0.4024658985
328	1.7084929846	0.4056345278
329	0.5088510515	0.0788224057
330	0.3217627431	0.0782859909
331	0.3535782332	0.1134742877
332	0.3703040917	0.118350166
333	0.3796683532	0.1099950541
334	1.074360315	0.0807963258
335	1.005949656	0.1124949443
336	0.834781861	0.3111348435
337	0.5897079496	0.3163850521
338	0.2922341656	0.2592062106
339	0.1368560769	0.1777063224
340	0.0294994702	0.0021714668
341	0.0215874527	0.0021714668
342	0.0192821809	0.0021714668
343	0.0490386454	0.0948438364
344	0.7469936332	0.2413114241
345	0.725138795	0.308469791
346	0.6077146412	0.3181863325
347	0.4227004249	0.2069113779
348	0.1119437183	0.0034895883
349	0.1016086148	0.0028155055
350	0.1015355321	0.0028155055
351	0.0743377108	0.0047626186
352	0.1019912095	0.0044751122
353	0.4048617965	0.0439159016
354	0.7345191889	0.0550579547
355	1.0535185709	0.0519059118
356	1.1787401494	0.2470024208
357	0.7282480454	0.2695230495
358	0.7293032899	0.26195411
359	0.4432759576	0.2057228697
360	0.111440656	0.0812945537
361	0.2551644666	0.1381782132
362	0.2434454488	0.1310958186
363	0.2438199579	0.1311620939
364	0.2443763262	0.1305222911
365	0.2446392556	0.1307169036
366	0.0141006541	0.0220011155
367	0.0142632201	0.0217668789
368	0.0106554576	0.0132683377
369	0.0243767024	0.0143001851
370	0.4889663592	0.2316633862
371	0.8053216515	0.3194122181
372	0.9584418823	0.3459522989
373	0.9368153822	0.2974152318
374	0.809971005	0.1308832946
375	0.7587107838	0.1973144102
376	0.4803515531	0.1528135501
377	0.3371857703	0.118845688
378	0.3260247347	0.1140197106
379	0.2931643946	0.0889720085
380	0.2532536736	0.0759892363
381	0.2344059624	0.073776565
382	0.3554107512	0.1042474373
383	0.3665931493	0.1389170632
384	0.4189916557	0.1691563124
385	0.3997777331	0.1620925831
386	0.6455785606	0.1935487639
387	0.8552306972	0.2169458112
388	1.0413798318	0.1386887745
389	1.4081673944	0.1453152188
390	0.138522578	0.0045009668
391	1.9057618456	0.0350834081
392	1.3959959137	0.073742803
393	0.9651834581	0.1349596065
394	0.6260392011	0.2025705228
395	0.3143353905	0.2103936817
396	0.3548370243	0.2920583697
