 
Frame	VaioStaticLatency	VaioPOETLatency	ODROIDStaticLatency	ODROIDPOETLatency	SmoothedODroidStatic	SmoothedODROIDPOET	   
112	0.980242	0.955868	0.990724	0.97769	1.009363	0.971678	   
113	0.984515	0.95697	0.993665	0.982121	1.006375	0.967295	   
114	0.988599	0.956151	1.012616	0.982618	0.987541	0.966805	   
115	0.994275	0.955157	1.013455	0.98571	0.986724	0.963772	   
116	0.999868	0.954381	1.026244	0.987166	0.974428	0.962351	   
117	1.004806	0.953762	1.018848	0.990476	0.981501	0.959134	   
118	1.009023	0.953322	1.015005	0.989966	0.985217	0.959629	   
119	1.012872	0.953	1.013119	0.993729	0.987051	0.955995	   
120	1.016107	0.952925	1.014476	0.980663	0.985731	0.968732	   
121	1.018281	0.952918	1.008295	0.978857	0.991773	0.970519	   
122	1.018826	0.952833	0.993345	0.983175	1.0067	0.966257	   
123	1.018571	0.952629	0.988058	0.983324	1.012086	0.966111	   
124	1.017004	0.95207	0.993982	0.98651	1.006055	0.96299	   
125	1.015549	0.951036	0.98762	0.984006	1.012536	0.965441	   
126	1.01293	0.951775	0.988169	0.98135	1.011972	0.968054	   
127	1.010243	0.952379	0.986517	0.988618	1.013667	0.960938	   
128	1.007089	0.952405	0.977742	0.988535	1.022765	0.961018	   
129	1.002825	0.951853	0.96832	0.992243	1.032716	0.957427	   
130	0.997858	0.950609	0.97187	1.001341	1.028944	0.948728	   
131	0.993263	0.948745	0.972044	1.002819	1.02876	0.947329	   
132	1.000655	0.94609	0.962136	0.976779	1.039354	0.972584	   
133	1.013713	0.942824	0.959371	0.942301	1.042349	1.00817	   
134	1.030956	0.939773	0.954588	0.939493	1.047573	1.011184	   
135	1.043916	0.937207	0.943615	0.931276	1.059754	1.020105	   
136	1.058048	0.935092	0.944608	0.932147	1.05864	1.019152	   
137	1.0722	0.933537	0.946124	0.931553	1.056944	1.019802	   
138	1.087917	0.932665	0.939342	0.919443	1.064575	1.033235	   
139	1.104592	0.93254	0.925688	0.911466	1.080278	1.042277	   
140	1.122077	0.933947	0.91776	0.910809	1.089609	1.043029	   
141	1.139133	0.936963	0.911748	0.90696	1.096794	1.047455	   
142	1.156926	0.941587	0.904684	0.882607	1.105359	1.076356	   
143	1.174047	0.947809	0.876886	0.857418	1.140399	1.107978	   
144	1.19212	0.956017	0.85826	0.832281	1.165148	1.141442	   
145	1.220042	0.966163	0.854488	0.824415	1.170292	1.152333	   
146	1.239632	0.977514	0.84376	0.818768	1.185171	1.16028	   
147	1.260457	0.989867	0.835803	0.807329	1.196454	1.176719	   
148	1.281428	1.003408	0.833492	0.808662	1.199771	1.17478	   
149	1.30027	1.018261	0.82281	0.810257	1.215347	1.172467	   
150	1.320489	1.035292	0.808803	0.809572	1.236395	1.173459	   
151	1.340796	1.054541	0.794277	0.814551	1.259007	1.166286	   
152	1.348178	1.074308	0.792505	0.829934	1.261822	1.14467	   
153	1.353277	1.272833	0.799045	0.864356	1.251493	1.099084	   
154	1.3569	1.276371	0.805611	0.879381	1.241294	1.080305	   
155	1.367602	1.275949	0.813577	0.892176	1.22914	1.064812	   
156	1.377077	1.274667	0.821209	0.910019	1.217717	1.043934	   
